大分	だいぶ	considerably
動物	どうぶつ	animal
自動車	じどうしゃ	automobile
制服	せいふく	uniform
小説	しょうせつ	novel
野菜	やさい	vegetable
部屋	へや	room
	ちっとも	not at all
戴く ･ 頂く	いただく	to receive
文法	ぶんぽう	grammar
拝観料	はいかんりょう	entrance fee
神社	じんじゃ	Shinto shrine
歴史	れきし	history
写真	しゃしん	photo, picture
数学	すうがく	mathematics
立派な	りっぱな	brilliant, splendid
自由	じゆう	freedom
公園	こうえん	park
平和	へいわ	peace
学部	がくぶ	department of a university
